,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
143,Women's Clothes,Sports Bras,,"Run Times Bra High Support, B–G Cups",74.0,4.1,1541
144,Women's Clothes,Shirts,T-Shirts,Ebb to Street Short-Sleeve Shirt,78.0,4.0,53
145,Women's Clothes,Underwear,,UnderEase Mid-Rise Thong Underwear,18.0,3.9,63
146,Women's Clothes,Shirts,Tank Tops,Quick-Dry Sleeveless Polo Shirt,68.0,4.0,70
147,Women's Clothes,Shirts,Tank Tops,Swiftly Tech Racerback Tank Top 2.0 Race Length,58.0,4.4,961
148,Women's Clothes,Shirts,Tank Tops,lululemon Align™ Hip-Length Racerback Tank Top,58.0,4.4,319
149,Women's Clothes,Underwear,,UnderEase Mid-Rise Thong Underwear 5 Pack,74.0,3.8,82
150,Women's Clothes,Dresses,,Classic-Fit Cotton-Blend Dress,88.0,3.9,109
151,Women's Clothes,Pants,Leggings,"Base Pace High-Rise Tight 28""",98.0,4.0,377
152,Women's Clothes,Sports Bras,,"lululemon Energy Longline Bra Ribbed Luxtreme Medium Support, B–D Cups",64.0,3.6,226
153,Women's Clothes,Sports Bras,,"Wunder Train Longline Bra Medium Support, C/D Cup",74.0,3.7,424
154,Women's Clothes,Shirts,Tank Tops,Invigorate Training Tank Top,68.0,4.3,373
155,Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Crop 21""",88.0,4.1,982
156,Women's Clothes,Underwear,,InvisiWear Mid-Rise Thong Underwear 3 Pack,48.0,2.5,164
157,Women's Clothes,Shirts,T-Shirts,All It Takes Short-Sleeve Shirt Nulu,58.0,4.5,115
158,Women's Clothes,Shirts,Tank Tops,Swiftly Tech Racerback Tank Top 2.0,58.0,3.9,973
159,Women's Clothes,Shorts,,"lululemon Align™ High-Rise Short with Pockets 8"" Online Only",74.0,4.2,287
160,Women's Clothes,Sports Bras,,"Like a Cloud High-Neck Longline Bra Light Support, B/C Cup Online Only",74.0,4.3,172
